question,letter,explaination
What’s the first letter of the english word for “parapluie”?,U,U for Umbrella
What’s the first letter of the english word for “canapé”?,S,S for Sofa
What letter do you have to add to “BAAD” to get a genre of song?,L,L for ballad
What letter do you change in “WEATHER” to get a material used to make clothes?,W,Remove W to get leather
What letter appears once in “apple” and twice in “paramedic”?,A,(a)pple p(a)r(a)medic
Which letter is missing twice from the capital city of India? NWDLHI,E, New Delhi
Which letter is missing twice from the capital city of Columbia? BGTA,O,Bogota
Which letter is missing twice from this movie talking about Jack and Rose? IANIC,T,Titanic
What’s the first letter of the name of a horse-like striped animal?,Z,Z for Zebra
Which letter is missing from this musical composition? SMPHON,Y,Symphony
Which letter is missing from this infectious disease? ANTHRA,X,Anthrax
Which letter is missing twice from this device that regulates a flow? ALE,V,V for Valve
Which letter do you need to add three times to get an adjective meaning honest and frank? STAIGHTFOWAD,R,Straightforward
Which letter means a line of people waiting when pronounced?,Q,Q for a queue
Which letter do you have to add to “MARY OINS” to get the name of the most famous nanny?,P,P for Mary Poppins
Which letter do you have to add to “MAE” to get the name of a lion’s crown?,N,N for Mane
Which letter do you need to change in “MAKE” to get a delicious dessert?,M,M to get a Cake
What’s the first letter of New Zealand’s emblem?,K,K for Kiwi
I am the end of the world and the beginning of every day,D,Worl(d) and (d)ay
Which letter do you have to change in “JOKER” to get the name of a card game?,J,Remove the J and get “POKER”
Which letter is missing twice from the capital city of Kenya? NAROB,I,I for Nairobi
Which letter do you add to “ACE” to get another word for pain?,H,H for ache
Which letter do you need to switch from “FLAG” to get another word for apartment?,G,Remove G to get a flat
Which letter do you need to switch from “FIND” to get another word for fastening securely?,F,Remove F to get Bind
What’s the first letter of the name of the boy who wins a golden ticket to visit a chocolate factory?,C,C for Charlie and the chocolate factory
Which letter gives this quote a meaning when pronounced? TO OR NOT TO,B,To be or not to be
What’s the first letter of the english word for “douche”?,S,S for Shower
Which chromosome do men have that women don’t?,Y,Men have XY, women have XX
What’s the first letter of the english word for “tablier”?,A,A for Apron
What’s the first letter of the english word for “raisins”?,G,G for Grapes
What’s the first letter of the english word for “cannelle”?,C,C for Cinnammon
What’s the first letter of the english word for “écraser”?,C,C for Crush
What’s the first letter of the english word for “abaisser”?,L,L for Lower
What’s the first letter of the english word for “boucher”(verb)?,C,C for Clog
What’s the first letter of the english word for “cicatrice”?,S,S for Scar
What’s the first letter of the english word for “serviette (de table)”?,N,N for Napkin
What’s the first letter of the english word for “aigle”?,E,E for Eagle
Which letter do you need to put instead of P in “PUNT” to get the activity of pursuing?,H,H for Hunt
Which letter do you need to change in “CURB” to get a spiral shape?,B,Remove B to get CURL
What’s the first letter of the english word for the most stubborn animal there is?,D,D for Donkey
Which letter is missing from Indonesia’s capital city? AKARTA,J,J for Jakarta
Which letter do you need to change in “FLEA” to get another word for appeal?,F,Remove F to get Plea
Which letter is missing from Nepal’s capital city? ATHMANDU,K,K for Kathmandu
What’s the first letter of the english word for “genou”?,K,K for Knee
Which letter is missing from Peru’s capital city? IMA,L,L for Lima
What’s the first letter of the english word for “cheville”?,A,A for Ankle
What’s the first letter of the english word for “coude”?,E,E for Elbow
What’s the first letter of the english word for “aile”?,W,W for Wing
What’s the first letter of the english word for “hanche”?,H,H for Hip
What’s the first letter of the english word for “agrafeuse”?,S,S for Stapler
What’s the first letter of the english word for “locataire”?,T,T for Tenant
What’s the first letter of the english word for “clause”?,P,P for Provision
What’s the first letter of the english word for “conseils”?,A,A for Advice
What’s the first letter of the english word for “cerveau”?,B,B for Brain
What’s the first letter of the english word for “estomac”?,S,S for Stomach
What’s the first letter of the english word for “ride”?,W,W for Wrinkle
What’s the first letter of the english word for “cou”?,N,N for Neck
What’s the first letter of the english word for “guerre”?,W,W for War
What’s the first letter of the english word for “théière”?,T,T for Teapot
Which letter is missing twice in “FIING” to get the word for hissing and bubbling?,Z,Add Z to get FIZZING
Which letter is missing twice in “GRILY” to get a type of bears?,Z,Add Z to get GRIZZLY
What’s the first letter of the word meaning the outer coloured part of the peel of citrus fruit?,Z,Z for Zest
What’s the first letter of the word meaning the branch of biology that studies animals?,Z,Z for Zoology
What’s the first letter of the english word for “bâillement”?,Y,Y for Yawn
What’s the first letter of the english word for “rendement”?,Y,Y for Yield
What’s the last letter of the english word for “canular”?,X,X for Hoax
What’s the last letter of the english word for “réparer”?,X,X for Fix
What’s the last letter of the english word for “mélanger”?,X,X for Mix
What’s the first letter of the english word for “conduit (d’aération)”?,V,V for Vent
What’s the first letter of the english word for “poste vacant”?,V,V for Vacancy
What’s the first letter of the english word for “souterrain”?,U,U for Underground
What’s the first letter of the english word for “voile”?,V,V for Veil
Which letter is missing from “STTTER” to get the english word for “bégayer”?,U,Add U and get STUTTER
What’s the first letter of the english word for “comprendre”?,U,U for Understand
What’s the first letter of the english word for “voyager”?,T,T for Travel
What’s the first letter of the english word for “rugir”?,R,R for Roar
What’s the first letter of the english word for “louer”?,R,R for Rent
What’s the first letter of the english word for “pluie”?,R,R for Rain
What’s the first letter of the english word for “seau”?,B,B for Bucket
What’s the first letter of the english word for “congélateur”?,F,F for Freezer
What’s the first letter of the english word for “rapidement”?,Q,Q for Quickly
What’s the first letter of the english word for “clôture”?,F,F for Fence
What’s the first letter of the english word for “sables mouvants”?,Q,Q for Quicksand
What’s the second letter of the english word for “écureuil”?,Q,Q as in sQuirrel
Which letter is missing twice from “SLIERY” to get get the english word for “glissant”?,P,Add P and get slippery
What’s the first letter of the english word for “animal de compagnie”?,P,P for Pet
What’s the first letter of the english word for “impair”?,O,O for Odd
Which letter do you need to change in “POD” to get the name for shaped cushioning material used to protect against collisions?,O,Remove O and put an A to get PAD
What’s the first letter of the english word for “prise de courant”? (electrical …),O,O for Outlet
What’s the first letter of the english word for “faire la sieste”?,N,N for Nap
Which letter do you need to change in “BEAM” to get the english word for “haricot”?,M,Change the M into an N to get bean
What’s the first letter of the english word for “prêter”?,L,L for Lend
What’s the last letter of the english word for “ver”?,M,M for worm
What’s the last letter of the english word for “liberté”?,M,M for freedom
What’s the first letter of the english word for “frapper (à une porte)”?,K,K for Knock
What’s the first letter of the english word for “confiture”?,J,J for Jam
What’s the first letter of the english word for “mâchoire”?,J,J for Jaw
Which letter do you need to change in “FIRM” to get the word for the shape and structure of an objet?,I,Change the I onto an O to get FORM
What’s the second letter of the english word for “creuser”?,I,I to get DIG
What’s the last letter of the english word for “courgette”?,I,I for zucchini
What’s the first letter of the english word for “marteau”?,H,H for Hammer
What’s the first letter of the english word for “fantôme”?,G,G for Ghost
What’s the first letter of the english word for “invité” (noun, not adjective)?,G,G for Guest
What’s the first letter of the english word for “anguille”?,E,E for Eel
What’s the first letter of the english word for “oser”?,D,D for Dare
What’s the first letter of the english word for “sourd”?,D,D for Deaf
